,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp
17144,14599,SI,20200924,93.1,-1.78,6.11,213.0,593428,502171,,called_strike,2.0,R,R,BOS,BAL,S,,,0.0,3.03,Ryan Wills,-0.026
17145,14600,FS,20200924,86.5,-1.98,6.13,233.0,646240,502171,field_out,hit_into_play,7.0,L,R,BOS,BAL,X,5.0,ground_ball,-0.73,1.97,Ryan Wills,-0.18
17146,14601,FF,20200924,92.8,-1.91,6.1,215.0,646240,502171,,foul,3.0,L,R,BOS,BAL,S,,,0.58,3.27,Ryan Wills,0.0
17147,14602,FS,20200924,87.4,-2.03,6.29,217.0,646240,502171,,foul,11.0,L,R,BOS,BAL,S,,,-1.32,2.85,Ryan Wills,-0.06
17148,14603,FS,20200924,86.3,-1.94,6.18,231.0,646240,502171,,ball,14.0,L,R,BOS,BAL,B,,,0.22,-0.16,Ryan Wills,0.032
17149,14604,SI,20200924,91.9,-1.83,6.11,255.0,646240,502171,,called_strike,8.0,L,R,BOS,BAL,S,,,0.27,1.38,Ryan Wills,-0.042
17150,14605,SL,20200924,84.8,-1.73,6.29,143.0,663624,592229,field_out,hit_into_play,9.0,R,R,BOS,BAL,X,6.0,ground_ball,0.76,2.0,Ryan Wills,-0.128
17151,14606,SL,20200924,86.1,-1.85,6.31,162.0,663624,592229,,swinging_strike,14.0,R,R,BOS,BAL,S,,,0.87,1.02,Ryan Wills,-0.028
17152,14607,SI,20200924,92.4,-1.72,6.3,211.0,663624,592229,,ball,14.0,R,R,BOS,BAL,B,,,0.43,1.38,Ryan Wills,0.027
17153,14608,CU,20200924,80.5,-1.7,6.33,38.0,663624,592229,,ball,14.0,R,R,BOS,BAL,B,,,0.92,1.08,Ryan Wills,0.018
17154,14609,SL,20200924,86.2,-1.78,6.29,123.0,578428,592229,field_out,hit_into_play,5.0,R,R,BOS,BAL,X,5.0,ground_ball,-0.11,2.03,Ryan Wills,-0.148
17155,14610,CH,20200924,83.7,-1.75,6.3,221.0,578428,592229,,foul,11.0,R,R,BOS,BAL,S,,,-1.0,2.48,Ryan Wills,0.0
17156,14611,CU,20200924,80.6,-1.74,6.29,47.0,578428,592229,,called_strike,4.0,R,R,BOS,BAL,S,,,-0.64,2.27,Ryan Wills,-0.047
17157,14612,SI,20200924,91.2,-1.84,6.35,199.0,578428,592229,,foul,11.0,R,R,BOS,BAL,S,,,-1.11,2.61,Ryan Wills,-0.039
17158,14613,SI,20200924,90.9,-1.78,6.39,210.0,578428,592229,,ball,14.0,R,R,BOS,BAL,B,,,1.19,2.22,Ryan Wills,0.04
17159,14614,FF,20200924,91.2,-1.81,6.41,206.0,578428,592229,,ball,11.0,R,R,BOS,BAL,B,,,-0.43,5.01,Ryan Wills,0.027
17160,14615,CU,20200924,80.4,-1.77,6.37,43.0,593643,592229,field_out,hit_into_play,14.0,R,R,BOS,BAL,X,5.0,ground_ball,1.07,1.84,Ryan Wills,-0.25
17161,14616,FS,20200924,86.2,-1.94,6.23,234.0,657077,502171,field_out,hit_into_play,5.0,L,R,BOS,BAL,X,8.0,fly_ball,-0.18,2.25,Ryan Wills,-0.386
17162,14617,SI,20200924,91.5,-1.86,6.06,212.0,657077,502171,,ball,12.0,L,R,BOS,BAL,B,,,1.07,2.89,Ryan Wills,0.04
17163,14618,SI,20200924,92.6,-1.8,6.17,208.0,657077,502171,,ball,12.0,L,R,BOS,BAL,B,,,0.16,4.28,Ryan Wills,0.038
17164,14619,FS,20200924,87.4,-1.91,6.26,230.0,657077,502171,,foul,4.0,L,R,BOS,BAL,S,,,-0.32,2.42,Ryan Wills,-0.053
17165,14620,SI,20200924,92.6,-1.68,6.16,212.0,624414,502171,grounded_into_double_play,hit_into_play,6.0,R,R,BOS,BAL,X,4.0,ground_ball,0.65,2.27,Ryan Wills,-0.637
17166,14621,FS,20200924,87.2,-1.8,6.27,225.0,624414,502171,,blocked_ball,14.0,R,R,BOS,BAL,B,,,0.49,0.29,Ryan Wills,0.071
17167,14622,SI,20200924,91.8,-1.91,6.08,214.0,656308,502171,hit_by_pitch,hit_by_pitch,11.0,R,R,BOS,BAL,B,,,-1.72,3.8,Ryan Wills,0.932
17168,14623,FS,20200924,86.2,-1.86,6.3,227.0,656308,502171,,swinging_strike,14.0,R,R,BOS,BAL,S,,,0.34,1.34,Ryan Wills,-0.139
17169,14624,SI,20200924,91.7,-1.86,6.25,213.0,656308,502171,,ball,11.0,R,R,BOS,BAL,B,,,-0.42,3.62,Ryan Wills,0.092
17170,14625,SI,20200924,91.9,-1.95,6.22,221.0,666915,502171,single,hit_into_play,11.0,R,R,BOS,BAL,X,7.0,line_drive,-0.89,2.75,Ryan Wills,0.695
17171,14626,SI,20200924,91.2,-1.92,6.13,213.0,598265,502171,single,hit_into_play,9.0,L,R,BOS,BAL,X,8.0,line_drive,0.43,1.68,Ryan Wills,0.357
17172,14627,SI,20200924,92.2,-1.71,6.21,214.0,598265,502171,,ball,14.0,L,R,BOS,BAL,B,,,0.61,1.22,Ryan Wills,0.041
17173,14628,CU,20200924,82.4,-1.76,6.35,57.0,656775,592229,strikeout,called_strike,11.0,L,R,BOS,BAL,S,2.0,,-0.13,3.53,Ryan Wills,-0.177
17174,14629,FF,20200924,91.6,-1.79,6.36,210.0,656775,592229,,foul,12.0,L,R,BOS,BAL,S,,,0.47,3.38,Ryan Wills,-0.057
17175,14630,FF,20200924,92.2,-1.86,6.34,207.0,656775,592229,,foul,12.0,L,R,BOS,BAL,S,,,0.85,3.08,Ryan Wills,-0.052
17176,14631,SL,20200924,85.2,-1.88,6.5,134.0,656775,592229,,ball,12.0,L,R,BOS,BAL,B,,,0.73,3.59,Ryan Wills,0.033
17177,14632,SI,20200924,91.9,-1.7,6.39,205.0,602104,592229,single,hit_into_play,11.0,R,R,BOS,BAL,X,8.0,ground_ball,-0.97,2.51,Ryan Wills,0.849
17178,14633,SI,20200924,92.2,-1.74,6.39,200.0,602104,592229,,ball,12.0,R,R,BOS,BAL,B,,,1.22,3.85,Ryan Wills,0.013
17179,14634,SL,20200924,87.1,-1.84,6.35,160.0,602104,592229,,foul,6.0,R,R,BOS,BAL,S,,,0.34,2.39,Ryan Wills,-0.075
17180,14635,FF,20200924,91.9,-1.73,6.38,207.0,602104,592229,,called_strike,12.0,R,R,BOS,BAL,S,,,0.87,2.87,Ryan Wills,-0.048
17181,14636,SL,20200924,86.1,-1.8,6.34,122.0,602104,592229,,ball,12.0,R,R,BOS,BAL,B,,,1.09,3.48,Ryan Wills,0.04
17182,14637,FF,20200924,92.2,-1.85,6.36,217.0,547004,592229,double,hit_into_play,2.0,L,R,BOS,BAL,X,8.0,fly_ball,-0.1,3.12,Ryan Wills,0.775
17183,14638,FF,20200924,92.4,-1.99,6.33,213.0,547004,592229,,foul,14.0,L,R,BOS,BAL,S,,,1.16,2.38,Ryan Wills,0.0
17184,14639,FF,20200924,92.0,-1.77,6.4,201.0,547004,592229,,foul,12.0,L,R,BOS,BAL,S,,,0.95,3.43,Ryan Wills,0.0
17185,14640,SL,20200924,86.2,-1.86,6.4,137.0,547004,592229,,foul,14.0,L,R,BOS,BAL,S,,,1.02,2.38,Ryan Wills,-0.064
17186,14641,FF,20200924,91.1,-2.04,6.35,216.0,547004,592229,,ball,11.0,L,R,BOS,BAL,B,,,-1.23,4.04,Ryan Wills,0.046
17187,14642,CH,20200924,83.7,-1.86,6.39,228.0,547004,592229,,ball,11.0,L,R,BOS,BAL,B,,,-1.71,3.44,Ryan Wills,0.023
17188,14643,SL,20200924,86.9,-1.82,6.38,145.0,547004,592229,,foul,12.0,L,R,BOS,BAL,S,,,0.99,2.73,Ryan Wills,-0.041
17189,14644,FF,20200924,91.6,-1.82,6.39,208.0,642162,592229,field_out,hit_into_play,2.0,R,R,BOS,BAL,X,9.0,fly_ball,-0.14,2.85,Ryan Wills,-0.212
17190,14645,FF,20200924,92.2,-1.72,6.45,202.0,642162,592229,,ball,11.0,R,R,BOS,BAL,B,,,-0.38,5.07,Ryan Wills,0.016
17191,14646,FF,20200924,91.1,-1.76,6.39,212.0,642162,592229,,foul,14.0,R,R,BOS,BAL,S,,,0.93,2.22,Ryan Wills,-0.059
17192,14647,FF,20200924,93.3,-1.75,6.39,207.0,642162,592229,,called_strike,3.0,R,R,BOS,BAL,S,,,0.63,3.2,Ryan Wills,-0.044
17193,14648,SL,20200924,87.1,-1.74,6.4,163.0,669720,592229,single,hit_into_play,5.0,R,R,BOS,BAL,X,7.0,line_drive,0.22,2.59,Ryan Wills,0.238
17194,14649,FF,20200924,94.0,-1.84,6.3,211.0,669720,592229,,ball,14.0,R,R,BOS,BAL,B,,,0.94,2.24,Ryan Wills,0.033
17195,14650,SI,20200924,92.6,-1.78,6.26,209.0,669720,592229,,ball,14.0,R,R,BOS,BAL,B,,,0.13,1.22,Ryan Wills,0.02
17196,14651,SI,20200924,91.9,-1.74,6.44,195.0,669720,592229,,foul,7.0,R,R,BOS,BAL,S,,,-0.4,1.82,Ryan Wills,-0.026
17197,14652,SL,20200924,86.5,-1.9,6.35,150.0,600474,592229,field_out,hit_into_play,13.0,R,R,BOS,BAL,X,5.0,ground_ball,-0.99,2.34,Ryan Wills,-0.319
